1,COO,11.5
2,O=[N+]([O-])C([N+](=O)[O-])[N+](=O)[O-],0.14
3,O=[N+]([O-])C[N+](=O)[O-],3.63
4,O=S(O)CO,1.65
5,COP(=O)(O)OP(=O)(O)OP(=O)(O)O,6.45
6,O=[N+]([O-])C(Cl)[N+](=O)[O-],3.53
7,O=[N+]([O-])C(Br)[N+](=O)[O-],3.6
8,O=[N+]([O-])C(I)[N+](=O)[O-],3.19
9,O=[N+]([O-])C(F)[N+](=O)[O-],7.7
10,O=CC(=O)O,3.18
11,CC(=O)OO,8.2
12,CCOO,11.8
13,CCS,10.5
14,O=C(O)C(Cl)(Cl)Cl,0.518
15,O=C(O)C(F)(F)F,0.52
16,N#CC([N+](=O)[O-])[N+](=O)[O-],-6.22
17,O=C(O)C(Cl)Cl,1.33
18,O=C(O)C(F)F,1.31
19,NC(=O)C([N+](=O)[O-])[N+](=O)[O-],1.3
20,O=C(O)CS,3.52
21,CC([N+](=O)[O-])[N+](=O)[O-],5.3
22,O=[N+]([O-])C(CO)[N+](=O)[O-],4.24
23,CC(=O)NO,9.4
24,NC(=S)NC(N)=S,9.09
25,OCCS,9.48
26,COP(=O)(O)OC,1.22
27,O=C(O)C(F)(F)Cl,0.46
28,COP(=S)(S)OC,1.55
29,NCCS(=O)(=O)O,9.07
30,C#CC(=O)O,1.867
31,N#Cc1[nH]nnc1N,6.15
32,C=CC(=O)O,4.246
33,O=C(O)CC(=O)O,2.3
34,O=C(O)C(O)C(=O)O,1.89
35,c1c[nH]cn1,7.27
36,CCC(=O)O,4.66
37,COCC(=O)O,3.31
38,CC(C)OO,12.1
39,O=C(O)C#CCl,1.82
40,O=C(O)C#CBr,1.839
41,N#CCC(=O)O,2.46
42,O=c1nc[nH]c(=O)[nH]1,6.5
43,N#CCC([N+](=O)[O-])[N+](=O)[O-],2.34
44,COC(=O)C([N+](=O)[O-])[N+](=O)[O-],0.98
45,O=[N+]([O-])C(CC([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.11
46,NC(C(=O)O)C(=O)O,3.32
47,NC(=O)CC([N+](=O)[O-])[N+](=O)[O-],3.41
48,O=[N+]([O-])CCC([N+](=O)[O-])[N+](=O)[O-],3.37
49,O=[N+]([O-])OCCC([N+](=O)[O-])[N+](=O)[O-],3.67
50,CCC([N+](=O)[O-])[N+](=O)[O-],5.61
51,COCC([N+](=O)[O-])[N+](=O)[O-],3.56
52,O=[N+]([O-])C(CCO)[N+](=O)[O-],4.73
53,CN(CC([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.69
54,O=[N+]([O-])NCCC([N+](=O)[O-])[N+](=O)[O-],3.71
55,C[C@H](N)C(=O)O,2.2
56,NCCC([N+](=O)[O-])[N+](=O)[O-],2.71
57,CCOP(C)(=O)O,2.25
58,CCP(=O)(O)OC,1.88
59,O=C1CSC(=S)N1,5.18
60,O=c1c(O)c(O)c1=O,1.5
61,CC#CC(=O)O,2.611
62,O=C(O)CCC(=O)O,4.14
63,CC(C(=O)O)C(=O)O,2.5
64,O=C(O)CC(O)C(=O)O,3.28
65,O=C(O)C(O)C(O)C(=O)O,2.89
66,CCOCC(=O)O,3.46
67,CC(C)(C)OO,12.8
68,CC(C)COO,12.8
69,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,5.55
70,O=c1cc[nH]c(=O)[nH]1,9.38
71,O=c1cc(O)[nH]cn1,5.4
72,O=c1[nH]cc(O)c(=O)[nH]1,8.11
73,Nc1nc(=O)[nH]cc1[N+](=O)[O-],7.43
74,Nc1nc(=O)c([N+](=O)[O-])c[nH]1,6.7
75,COC(=O)C(C#N)[N+](=O)[O-],-5.2
76,O=C1NCc2[nH]nnc2N1,-1.36
77,NCC#CC(=O)O,1.8
78,N#CCCC([N+](=O)[O-])[N+](=O)[O-],2.5
79,N#CCC(N)C(=O)O,1.7
80,O=C1Nc2nn[nH]c2C(NO)N1,-1.43
81,C=CCC([N+](=O)[O-])[N+](=O)[O-],4.99
82,COC(=O)CC([N+](=O)[O-])[N+](=O)[O-],3.08
83,CC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.37
